ID	GeneID	geneSymbol	chr	strand	riExonStart_0base	riExonEnd	upstreamES	upstreamEE	downstreamES	downstreamEE	ID	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen	PValue	FDR	IncLevel1	IncLevel2	IncLevelDifference
25	"SUGT1P4-STRA6LP-CCDC180"	"SUGT1P4-STRA6LP-CCDC180"	chr9	+	97362195	97362441	97362195	97362251	97362362	97362441	25	0,0,0	0,0,5	0,2,0	0,0,0	138	69	1	1.0	NA,NA,0.0	NA,1.0,NA	-1.0
33	"WIPF1"	"WIPF1"	chr2	-	174559573	174562602	174559573	174562125	174562550	174562602	33	1489,6,11241	8,0,94	1222,5931,6242	2,9,14	138	69	0.00934840472445	0.7290223159706336	0.989,1.0,0.984	0.997,0.997,0.996	-0.006
37	"STAG3L5P-PVRIG2P-PILRB"	"STAG3L5P-PVRIG2P-PILRB"	chr7	+	100352563	100352914	100352563	100352667	100352760	100352914	37	7,0,0	0,0,0	0,8,8	0,0,1	138	69	1	1.0	1.0,NA,NA	NA,1.0,0.8	0.1
39	"NSUN5P1"	"NSUN5P1"	chr7	+	75415591	75416191	75415591	75415778	75415980	75416191	39	2,0,0	0,0,0	0,4,10	0,2,0	138	69	1	1.0	1.0,NA,NA	NA,0.5,1.0	0.25
41	"SLC66A1"	"SLC66A1"	chr1	+	19312325	19312889	19312325	19312358	19312728	19312889	41	2,0,3	0,0,9	0,1,1	0,2,3	138	69	1	1.0	1.0,NA,0.143	NA,0.2,0.143	0.4
42	"RHBDF2"	"RHBDF2"	chr17	-	76487711	76488132	76487711	76487851	76487973	76488132	42	18,0,9	0,0,2	2,4,24	0,9,2	138	69	1	1.0	1.0,NA,0.692	1.0,0.182,0.857	0.166
45	"FUT1"	"FUT1"	chr19	-	48752489	48753122	48752489	48752725	48752891	48753122	45	0,0,6	0,0,0	0,1,2	5,0,1	138	69	1	1.0	NA,NA,1.0	0.0,1.0,0.5	0.5
47	"DNPH1"	"DNPH1"	chr6	-	43225628	43226143	43225628	43225881	43226032	43226143	47	0,0,3	0,0,10	0,2,0	2,4,3	138	69	1	1.0	NA,NA,0.13	0.0,0.2,0.0	0.063
52	"ST3GAL1"	"ST3GAL1"	chr8	-	133475718	133476600	133475718	133476074	133476277	133476600	52	7,0,98	0,0,41	0,56,77	14,28,37	138	69	1	1.0	1.0,NA,0.544	0.0,0.5,0.51	0.435
55	"ID1"	"ID1"	chr20	+	31605288	31606510	31605288	31605813	31606052	31606510	55	0,0,1	0,0,0	0,0,0	0,0,2	138	69	1	1.0	NA,NA,1.0	NA,NA,0.0	1.0
77	"NUDT8"	"NUDT8"	chr11	-	67627937	67628400	67627937	67628251	67628322	67628400	77	0,0,2	0,0,1	0,0,0	0,1,0	138	69	1	1.0	NA,NA,0.5	NA,0.0,NA	0.5
78	"RPS27"	"RPS27"	chr1	+	153990754	153991034	153990754	153990802	153990913	153991034	78	50,1,328	0,0,18	89,225,237	1,9,8	138	69	0.40148122154	1.0	1.0,1.0,0.901	0.978,0.926,0.937	0.02
79	"LUC7L3"	"LUC7L3"	chr17	+	50750500	50756215	50750500	50750641	50750746	50756215	79	6,16,13	16,0,6	0,14,38	0,5,9	138	69	1	1.0	0.158,1.0,0.52	NA,0.583,0.679	-0.072
81	"TRIM52-AS1"	"TRIM52-AS1"	chr5	+	181263627	181264566	181263627	181263766	181264051	181264566	81	15,0,159	6,0,36	17,67,105	0,19,49	138	69	1	1.0	0.556,NA,0.688	1.0,0.638,0.517	-0.096
82	"TRIM52-AS1"	"TRIM52-AS1"	chr5	+	181263627	181264566	181263627	181263789	181264051	181264566	82	15,0,142	0,0,3	11,66,100	2,1,1	138	69	1	1.0	1.0,NA,0.959	0.733,0.971,0.98	0.085
83	"PHYKPL"	"PHYKPL"	chr5	-	178231668	178232822	178231668	178231866	178232491	178232822	83	0,0,4	0,0,6	2,2,9	2,3,8	138	69	1	1.0	NA,NA,0.25	0.333,0.25,0.36	-0.064
86	"SPIN2B"	"SPIN2B"	chrX	-	57119681	57120631	57119681	57120101	57120404	57120631	86	0,0,4	9,0,36	1,0,6	17,6,21	138	69	1	1.0	0.0,NA,0.053	0.029,0.0,0.125	-0.025
87	"THYN1"	"THYN1"	chr11	-	134252839	134253352	134252839	134252916	134253226	134253352	87	0,0,6	0,0,2	0,12,6	0,2,0	138	69	1	1.0	NA,NA,0.6	NA,0.75,1.0	-0.275
93	"DNAJB12"	"DNAJB12"	chr10	-	72332834	72335931	72332834	72334617	72335602	72335931	93	0,0,2	0,0,1	0,3,6	0,0,0	138	69	1	1.0	NA,NA,0.5	NA,1.0,1.0	-0.5
94	"DNAJB12"	"DNAJB12"	chr10	-	72332834	72335931	72332834	72334617	72335779	72335931	94	0,0,2	0,0,8	0,7,5	0,4,1	138	69	1	1.0	NA,NA,0.111	NA,0.467,0.714	-0.48
95	"DNAJB12"	"DNAJB12"	chr10	-	72332834	72335931	72332834	72334617	72335785	72335931	95	0,0,2	0,0,0	8,9,7	0,2,0	138	69	1	1.0	NA,NA,1.0	1.0,0.692,1.0	0.103
96	"DNAJB12"	"DNAJB12"	chr10	-	72332834	72335931	72332834	72334617	72335833	72335931	96	0,0,3	0,0,3	8,11,7	0,0,1	138	69	1	1.0	NA,NA,0.333	1.0,1.0,0.778	-0.593
97	"TMED4"	"TMED4"	chr7	-	44581722	44582231	44581722	44581823	44582046	44582231	97	3,0,39	14,0,190	5,22,21	14,78,106	138	69	1	1.0	0.097,NA,0.093	0.152,0.124,0.09	-0.027
100	"PLCD1"	"PLCD1"	chr3	-	38009903	38010275	38009903	38010053	38010130	38010275	100	6,0,0	0,0,1	0,0,0	0,0,1	138	69	1	1.0	1.0,NA,0.0	NA,NA,0.0	0.5
103	"NXF1"	"NXF1"	chr11	-	62798538	62800486	62798538	62798575	62800376	62800486	103	28,0,3	0,0,8	0,4,9	0,3,4	138	69	1	1.0	1.0,NA,0.158	NA,0.4,0.529	0.114
104	"EFEMP2"	"EFEMP2"	chr11	-	65866440	65867079	65866440	65866712	65866844	65867079	104	0,0,3	0,0,1	0,2,5	0,0,0	138	69	1	1.0	NA,NA,0.6	NA,1.0,1.0	-0.4
108	"PSMG3"	"PSMG3"	chr7	-	1569123	1570032	1569123	1569360	1570008	1570032	108	0,0,11	0,0,2	2,4,2	2,4,3	138	69	1	1.0	NA,NA,0.733	0.333,0.333,0.25	0.428
112	"LOC100129917"	"LOC100129917"	chr4	-	780148	781848	780148	780688	781771	781848	112	0,0,0	0,0,2	0,2,6	0,1,0	138	69	1	1.0	NA,NA,0.0	NA,0.5,1.0	-0.75
113	"FPGT"	"FPGT"	chr1	+	74204390	74208702	74204390	74204456	74205218	74208702	113	13,0,57	0,0,1	3,38,34	0,0,0	138	69	1	1.0	1.0,NA,0.966	1.0,1.0,1.0	-0.017
114	"P3H1"	"P3H1"	chr1	-	42746334	42747412	42746334	42746852	42747252	42747412	114	6,0,1	0,0,0	0,0,3	0,2,2	138	69	1	1.0	1.0,NA,1.0	NA,0.0,0.429	0.785
115	"RPL28"	"RPL28"	chr19	+	55387929	55392083	55387929	55388048	55388242	55392083	115	10,11,110	211,55,584	2,77,63	388,401,393	138	69	0.167784577853	1.0	0.023,0.091,0.086	0.003,0.088,0.074	0.012
116	"RPL28"	"RPL28"	chr19	+	55387929	55392083	55387929	55388048	55391553	55392083	116	2,0,14	0,0,1	1,8,15	0,0,1	138	69	1	1.0	1.0,NA,0.875	1.0,1.0,0.882	-0.023
119	"PHF8"	"PHF8"	chrX	-	53936679	53939246	53936679	53938059	53939161	53939246	119	0,0,5	0,0,1	0,4,6	0,0,3	138	69	1	1.0	NA,NA,0.714	NA,1.0,0.5	-0.036
120	"MRPL30"	"MRPL30"	chr2	+	99195572	99199561	99195572	99195756	99197153	99199561	120	1,0,10	0,0,1	12,9,6	0,0,0	138	69	1	1.0	1.0,NA,0.833	1.0,1.0,1.0	-0.084
121	"CIAO2B"	"CIAO2B"	chr16	-	66933986	66934402	66933986	66934064	66934220	66934402	121	0,0,45	0,0,34	4,14,13	4,23,22	138	69	1	1.0	NA,NA,0.398	0.333,0.233,0.228	0.133
123	"RGS6"	"RGS6"	chr14	+	72562416	72566530	72562416	72562585	72562714	72566530	123	62,0,543	0,0,7	45,354,250	4,4,4	138	69	1	1.0	1.0,NA,0.975	0.849,0.978,0.969	0.056
124	"RGS6"	"RGS6"	chr14	+	72562416	72566530	72562416	72562620	72562714	72566530	124	54,0,546	0,0,0	41,359,215	0,1,0	138	69	1	1.0	1.0,NA,1.0	1.0,0.994,1.0	0.002
125	"SRSF10"	"SRSF10"	chr1	-	23964346	23971439	23964346	23967723	23971337	23971439	125	2,5,76	0,0,2	15,38,39	8,1,1	138	69	0.00143129009682	0.25372135472342777	1.0,1.0,0.95	0.484,0.95,0.951	0.188
134	"DMAC2"	"DMAC2"	chr19	-	41431317	41433434	41431317	41432408	41433271	41433434	134	0,0,0	4,0,1	0,0,3	0,3,3	138	69	1	1.0	0.0,NA,0.0	NA,0.0,0.333	-0.167
138	"TMEM175"	"TMEM175"	chr4	+	948115	948615	948115	948154	948410	948615	138	1,0,0	16,0,7	0,3,8	0,0,0	138	69	1	1.0	0.03,NA,0.0	NA,1.0,1.0	-0.985
140	"OAS2"	"OAS2"	chr12	+	113009086	113011723	113009086	113009240	113010373	113011723	140	4,0,9	12,0,0	5,9,8	0,3,1	138	69	1	1.0	0.143,NA,1.0	1.0,0.6,0.8	-0.229
142	"OGG1"	"OGG1"	chr3	+	9756766	9757405	9756766	9756816	9757060	9757405	142	0,0,3	0,0,6	0,5,2	0,0,0	138	69	1	1.0	NA,NA,0.2	NA,1.0,1.0	-0.8
147	"TRHDE-AS1"	"TRHDE-AS1"	chr12	-	72271822	72273509	72271822	72272162	72272764	72273509	147	12,0,147	0,0,1	10,15,46	0,0,0	138	69	1	1.0	1.0,NA,0.987	1.0,1.0,1.0	-0.006
150	"LINC00987"	"LINC00987"	chr12	+	9241117	9243049	9241117	9241459	9241869	9243049	150	13,13,0	0,0,0	0,11,6	0,1,0	138	69	1	1.0	1.0,1.0,NA	NA,0.846,1.0	0.077
152	"SLC35F5"	"SLC35F5"	chr2	-	113706708	113715195	113706708	113715041	113715157	113715195	152	0,0,106	0,0,0	0,50,99	0,0,3	138	69	1	1.0	NA,NA,1.0	NA,1.0,0.943	0.028
153	"FZD6"	"FZD6"	chr8	+	103299955	103300284	103299955	103300084	103300199	103300284	153	0,0,1	0,0,0	0,0,0	0,2,0	138	69	1	1.0	NA,NA,1.0	NA,0.0,NA	1.0
154	"YPEL3"	"YPEL3"	chr16	-	30095251	30096213	30095251	30095434	30096096	30096213	154	3,0,36	36,0,419	9,26,14	79,183,94	138	69	1	1.0	0.04,NA,0.041	0.054,0.066,0.069	-0.022
155	"ENO1"	"ENO1"	chr1	-	8870451	8871986	8870451	8870510	8871890	8871986	155	3,0,139	52,3,798	18,57,137	168,317,745	138	69	0.669057154893	1.0	0.028,0.0,0.08	0.051,0.082,0.084	-0.036
160	"NPRL3"	"NPRL3"	chr16	-	138149	138698	138149	138334	138366	138698	160	0,0,32	2,0,32	0,9,32	0,7,48	101	69	1	1.0	0.0,NA,0.406	NA,0.468,0.313	-0.188
161	"NPRL3"	"NPRL3"	chr16	-	138149	138698	138149	138334	138641	138698	161	0,0,27	0,0,3	0,6,26	0,4,8	138	69	1	1.0	NA,NA,0.818	NA,0.429,0.619	0.294
164	"AP1G2"	"AP1G2"	chr14	-	23563715	23564159	23563715	23563856	23564045	23564159	164	0,0,0	4,0,5	0,2,20	1,0,9	138	69	1	1.0	0.0,NA,0.0	0.0,1.0,0.526	-0.509
165	"AP1G2"	"AP1G2"	chr14	-	23565815	23566160	23565815	23565892	23566063	23566160	165	5,10,1	0,0,4	0,5,14	0,5,8	138	69	1	1.0	1.0,1.0,0.111	NA,0.333,0.467	0.304
167	"BIN2"	"BIN2"	chr12	-	51302019	51302780	51302019	51302115	51302685	51302780	167	54,0,654	495,0,3725	53,303,317	488,1987,2182	138	69	1	1.0	0.052,NA,0.081	0.052,0.071,0.068	0.003
168	"PCNP"	"PCNP"	chr3	+	101579588	101580004	101579588	101579766	101579841	101580004	168	257,1,2440	0,0,5	315,1222,843	0,3,1	138	69	1	1.0	1.0,1.0,0.996	1.0,0.995,0.998	0.001
171	"CELF2"	"CELF2"	chr10	+	11328925	11331455	11328925	11329097	11330455	11331455	171	127,5,322	86,0,244	124,199,334	85,139,237	138	69	0.452882886049	1.0	0.425,1.0,0.398	0.422,0.417,0.413	0.19
172	"OTUB1"	"OTUB1"	chr11	+	63996529	63996941	63996529	63996648	63996856	63996941	172	0,0,3	6,0,40	2,6,9	9,22,26	138	69	1	1.0	0.0,NA,0.036	0.1,0.12,0.148	-0.105
175	"GALK2"	"GALK2"	chr15	+	49327951	49329805	49327951	49328130	49328665	49329805	175	2,0,22	2,0,1	3,23,16	0,2,2	138	69	1	1.0	0.333,NA,0.917	1.0,0.852,0.8	-0.259
176	"ENKUR"	"ENKUR"	chr10	-	24981985	24984376	24981985	24982770	24984209	24984376	176	350,0,497	16,0,1	366,468,691	0,0,0	138	69	1	1.0	0.916,NA,0.996	1.0,1.0,1.0	-0.044
193	"RPRD1A"	"RPRD1A"	chr18	-	35989823	35993300	35989823	35990595	35993101	35993300	193	5,0,5	0,0,0	8,15,8	0,1,0	138	69	1	1.0	1.0,NA,1.0	1.0,0.882,1.0	0.039
206	"EIF6"	"EIF6"	chr20	-	35284175	35284492	35284175	35284261	35284380	35284492	206	0,7,3	29,0,18	0,2,2	0,9,13	138	69	1	1.0	0.0,1.0,0.077	NA,0.1,0.071	0.273
211	"ZNF711"	"ZNF711"	chrX	+	85246929	85247651	85246929	85247183	85247546	85247651	211	0,0,2	0,0,12	0,0,0	0,7,6	138	69	1	1.0	NA,NA,0.077	NA,0.0,0.0	0.077
212	"ZNF711"	"ZNF711"	chrX	+	85246929	85247651	85246929	85247188	85247546	85247651	212	0,0,1	0,0,1	0,0,0	0,2,2	138	69	1	1.0	NA,NA,0.333	NA,0.0,0.0	0.333
213	"OTUD5"	"OTUD5"	chrX	-	48922025	48923295	48922025	48922910	48923136	48923295	213	38,0,457	3,0,51	58,214,304	4,45,32	138	69	1	1.0	0.864,NA,0.818	0.879,0.704,0.826	0.038
214	"LAT"	"LAT"	chr16	+	28986539	28986714	28986539	28986569	28986656	28986714	214	56,0,295	76,0,935	53,214,190	128,548,709	138	69	1	1.0	0.269,NA,0.136	0.172,0.163,0.118	0.052
217	"TRIP12"	"TRIP12"	chr2	-	229858771	229859574	229858771	229858831	229858918	229859574	217	95,0,594	9,0,30	120,451,449	2,23,17	138	69	1	1.0	0.841,NA,0.908	0.968,0.907,0.93	-0.06
219	"ZNF266"	"ZNF266"	chr19	-	9418504	9419299	9418504	9418631	9418761	9419299	219	6,0,3	0,0,2	0,2,7	0,2,4	138	69	1	1.0	1.0,NA,0.429	NA,0.333,0.467	0.315
220	"ZNF266"	"ZNF266"	chr19	-	9418504	9419299	9418504	9418631	9418765	9419299	220	6,0,4	0,0,4	0,7,9	0,6,0	138	69	1	1.0	1.0,NA,0.333	NA,0.368,1.0	-0.017
222	"ZNF266"	"ZNF266"	chr19	-	9418761	9419299	9418761	9418895	9419050	9419299	222	2,0,1	0,0,1	0,4,4	0,3,3	138	69	1	1.0	1.0,NA,0.333	NA,0.4,0.4	0.266
223	"ZNF266"	"ZNF266"	chr19	-	9418504	9419289	9418504	9418631	9419216	9419289	223	6,0,5	0,0,1	2,6,6	0,0,0	138	69	1	1.0	1.0,NA,0.714	1.0,1.0,1.0	-0.143
224	"ZNF266"	"ZNF266"	chr19	-	9418765	9419299	9418765	9418895	9419216	9419299	224	2,0,3	0,0,1	2,6,3	0,1,0	138	69	1	1.0	1.0,NA,0.6	1.0,0.75,1.0	-0.117
226	"NDUFA2"	"NDUFA2"	chr5	-	140647255	140647785	140647255	140647362	140647482	140647785	226	4,0,22	4,0,80	2,13,4	14,35,28	138	69	1	1.0	0.333,NA,0.121	0.067,0.157,0.067	0.13
227	"MRPS21"	"MRPS21"	chr1	+	150293841	150294449	150293841	150293898	150294334	150294449	227	0,0,15	0,0,11	0,19,8	0,8,3	138	69	1	1.0	NA,NA,0.405	NA,0.543,0.571	-0.152
228	"CCDC130"	"CCDC130"	chr19	+	13758867	13759272	13758867	13759010	13759099	13759272	228	0,0,1	0,0,0	0,1,5	0,1,0	138	69	1	1.0	NA,NA,1.0	NA,0.333,1.0	0.334
231	"SRSF8"	"SRSF8"	chr11	+	95066876	95071224	95066876	95068183	95068654	95071224	231	60,1,467	213,0,450	94,408,517	214,493,358	138	69	0.704748864994	1.0	0.123,1.0,0.342	0.18,0.293,0.419	0.191
233	"SEC14L1"	"SEC14L1"	chr17	+	77213917	77217099	77213917	77214019	77216548	77217099	233	246,5,2886	0,0,15	392,1269,1383	0,9,4	138	69	1	1.0	1.0,1.0,0.99	1.0,0.986,0.994	0.003
234	"PRKD2"	"PRKD2"	chr19	-	46716130	46717127	46716130	46716535	46716814	46717127	234	0,0,8	0,0,13	4,8,12	0,5,16	138	69	1	1.0	NA,NA,0.235	1.0,0.444,0.273	-0.337
235	"PRKD2"	"PRKD2"	chr19	-	46716130	46717127	46716130	46716535	46716950	46717127	235	0,0,22	0,0,0	0,6,22	4,8,2	138	69	1	1.0	NA,NA,1.0	0.0,0.273,0.846	0.627
239	"ACAA1"	"ACAA1"	chr3	-	38126161	38126700	38126161	38126341	38126509	38126700	239	15,0,2	2,0,14	1,4,10	0,13,12	138	69	1	1.0	0.789,NA,0.067	1.0,0.133,0.294	-0.048
242	"PFKM"	"PFKM"	chr12	+	48134942	48135383	48134942	48135038	48135290	48135383	242	1,0,6	27,0,62	0,2,4	6,38,29	138	69	1	1.0	0.018,NA,0.046	0.0,0.026,0.065	0.002
257	"BAZ1B"	"BAZ1B"	chr7	-	73440406	73442553	73440406	73441693	73442180	73442553	257	0,0,14	0,0,5	4,9,5	0,0,0	138	69	1	1.0	NA,NA,0.583	1.0,1.0,1.0	-0.417
260	"ARHGAP9"	"ARHGAP9"	chr12	-	57476589	57476963	57476589	57476651	57476870	57476963	260	0,0,0	30,0,2	0,1,7	10,2,13	138	69	1	1.0	0.0,NA,0.0	0.0,0.2,0.212	-0.137
261	"RBM34"	"RBM34"	chr1	-	235160510	235161067	235160510	235160647	235160892	235161067	261	9,0,0	8,0,3	2,3,11	6,1,7	138	69	1	1.0	0.36,NA,0.0	0.143,0.6,0.44	-0.214
262	"DMAP1"	"DMAP1"	chr1	+	44213470	44213858	44213470	44213527	44213708	44213858	262	0,0,0	0,0,3	0,2,4	2,3,3	138	69	1	1.0	NA,NA,0.0	0.0,0.25,0.4	-0.217
265	"CIAO2A"	"CIAO2A"	chr15	-	64072558	64075537	64072558	64073028	64075491	64075537	265	0,0,0	8,0,8	0,1,2	3,19,21	138	69	1	1.0	0.0,NA,0.0	0.0,0.026,0.045	-0.024
266	"CLK1"	"CLK1"	chr2	-	200859679	200861466	200859679	200859746	200861237	200861466	266	0,0,1	0,0,4	0,7,19	12,5,0	138	69	1	1.0	NA,NA,0.111	0.0,0.412,1.0	-0.36
268	"PRKAR2A-AS1"	"PRKAR2A-AS1"	chr3	+	48847936	48848408	48847936	48848025	48848104	48848408	268	0,0,2	0,0,2	0,0,0	0,0,1	138	69	1	1.0	NA,NA,0.333	NA,NA,0.0	0.333
269	"DMXL1"	"DMXL1"	chr5	+	119071086	119071656	119071086	119071257	119071554	119071656	269	18,0,60	0,0,9	14,35,32	3,9,7	138	69	1	1.0	1.0,NA,0.769	0.7,0.66,0.696	0.199
270	"HNRNPA3"	"HNRNPA3"	chr2	+	177219407	177223959	177219407	177221976	177222059	177223959	270	26,0,38	0,0,1	1,42,39	0,0,1	138	69	1	1.0	1.0,NA,0.95	1.0,1.0,0.951	-0.009
275	"C11orf98"	"C11orf98"	chr11	-	62664848	62665216	62664848	62664973	62665130	62665216	275	0,0,5	0,5,7	0,0,3	10,6,7	138	69	1	1.0	NA,0.0,0.263	0.0,0.0,0.176	0.073
277	"TK2"	"TK2"	chr16	-	66548977	66550122	66548977	66549009	66549937	66550122	277	0,0,0	0,0,1	0,0,1	0,2,1	138	69	1	1.0	NA,NA,0.0	NA,0.0,0.333	-0.167
278	"NIPSNAP3B"	"NIPSNAP3B"	chr9	+	104772996	104777764	104772996	104773176	104777127	104777764	278	0,0,11	0,0,1	10,16,12	0,0,0	138	69	1	1.0	NA,NA,0.846	1.0,1.0,1.0	-0.154
279	"HMGA1"	"HMGA1"	chr6	+	34236872	34237317	34236872	34236961	34237203	34237317	279	0,0,12	0,0,0	0,4,2	2,0,0	138	69	1	1.0	NA,NA,1.0	0.0,1.0,1.0	0.333
280	"HMGA1"	"HMGA1"	chr6	+	34236872	34237317	34236872	34236963	34237203	34237317	280	0,0,12	1,0,59	0,2,2	3,19,18	138	69	1	1.0	0.0,NA,0.092	0.0,0.05,0.053	0.012
283	"SLU7"	"SLU7"	chr5	-	160418595	160419081	160418595	160418685	160419022	160419081	283	3,0,20	0,0,2	0,18,14	0,0,0	138	69	1	1.0	1.0,NA,0.833	NA,1.0,1.0	-0.084
284	"PML"	"PML"	chr15	+	74034477	74036394	74034477	74034530	74035171	74036394	284	0,0,8	20,0,8	3,3,13	0,4,4	138	69	1	1.0	0.0,NA,0.333	1.0,0.273,0.619	-0.464
285	"SHROOM4"	"SHROOM4"	chrX	-	50591644	50596964	50591644	50592144	50595697	50596964	285	11,0,145	0,0,4	7,83,68	0,0,0	138	69	1	1.0	1.0,NA,0.948	1.0,1.0,1.0	-0.026
286	"SLC39A13"	"SLC39A13"	chr11	+	47415287	47416500	47415287	47415496	47416324	47416500	286	8,0,10	0,0,0	6,15,11	0,0,1	138	69	1	1.0	1.0,NA,1.0	1.0,1.0,0.846	0.051
287	"LBHD1"	"LBHD1"	chr11	-	62669640	62670041	62669640	62669803	62669881	62670041	287	3,0,0	0,0,0	0,3,0	0,2,0	138	69	1	1.0	1.0,NA,NA	NA,0.429,NA	0.571
291	"ICAM3"	"ICAM3"	chr19	-	10335065	10335976	10335065	10335353	10335670	10335976	291	4,0,0	4,0,10	0,1,1	6,17,12	138	69	1	1.0	0.333,NA,0.0	0.0,0.029,0.04	0.144
293	"ARSA"	"ARSA"	chr22	-	50627555	50628152	50627555	50627792	50627897	50628152	293	3,0,50	0,0,1	6,16,21	4,0,1	138	69	1	1.0	1.0,NA,0.962	0.429,1.0,0.913	0.2
294	"ARSA"	"ARSA"	chr22	-	50627555	50628152	50627555	50627792	50627945	50628152	294	6,0,56	0,0,34	6,18,21	2,5,12	138	69	1	1.0	1.0,NA,0.452	0.6,0.643,0.467	0.156
295	"ARSA"	"ARSA"	chr22	-	50627555	50628152	50627555	50627792	50627990	50628152	295	3,0,86	0,0,5	6,29,44	0,3,3	138	69	1	1.0	1.0,NA,0.896	1.0,0.829,0.88	0.045
296	"FXYD3"	"FXYD3"	chr19	+	35122764	35122954	35122764	35122839	35122917	35122954	296	0,0,13	0,0,17	4,3,2	1,13,24	138	69	1	1.0	NA,NA,0.277	0.667,0.103,0.04	0.007
299	"THUMPD1"	"THUMPD1"	chr16	-	20733665	20737286	20733665	20736358	20736859	20737286	299	19,0,103	0,0,25	8,63,34	4,20,6	138	69	1	1.0	1.0,NA,0.673	0.5,0.612,0.739	0.22
300	"MIDEAS"	"MIDEAS"	chr14	-	73715121	73719501	73715121	73719008	73719304	73719501	300	0,2,1	4,0,14	0,3,1	0,14,14	138	69	1	1.0	0.0,1.0,0.034	NA,0.097,0.034	0.279
302	"RABEPK"	"RABEPK"	chr9	+	125200541	125200906	125200541	125200577	125200779	125200906	302	0,0,1	0,0,1	0,2,0	0,1,0	138	69	1	1.0	NA,NA,0.333	NA,0.5,NA	-0.167
304	"SPNS1"	"SPNS1"	chr16	+	28974777	28975392	28974777	28974863	28975100	28975392	304	6,0,31	0,0,4	0,9,5	0,1,0	138	69	1	1.0	1.0,NA,0.795	NA,0.818,1.0	-0.012
305	"SPNS1"	"SPNS1"	chr16	+	28974777	28975392	28974777	28975100	28975187	28975392	305	6,0,23	0,0,1	0,6,5	0,0,0	138	69	1	1.0	1.0,NA,0.92	NA,1.0,1.0	-0.04
310	"P2RX7"	"P2RX7"	chr12	+	121177146	121177446	121177146	121177212	121177296	121177446	310	2,0,0	0,0,0	0,0,0	0,1,0	138	69	1	1.0	1.0,NA,NA	NA,0.0,NA	1.0
315	"DKC1"	"DKC1"	chrX	+	154764898	154765530	154764898	154764966	154765443	154765530	315	0,0,0	4,0,6	0,3,4	0,3,6	138	69	1	1.0	0.0,NA,0.0	NA,0.333,0.25	-0.291
316	"DKC1"	"DKC1"	chrX	+	154766215	154767061	154766215	154766400	154766996	154767061	316	0,0,3	0,0,8	0,0,2	1,11,14	138	69	1	1.0	NA,NA,0.158	0.0,0.0,0.067	0.136
318	"DKC1"	"DKC1"	chrX	+	154774601	154775273	154774601	154774705	154775194	154775273	318	0,0,0	0,13,9	2,0,1	2,3,2	138	69	1	1.0	NA,0.0,0.0	0.333,0.0,0.2	-0.178
